date,city,precipitation
2020-01-01,seattle,0.1625
2020-01-02,seattle,0.18125000000000002
2020-01-03,seattle,0.2675
2020-01-04,seattle,0.17200000000000001
2020-01-05,seattle,0.16857142857142857
2020-01-06,seattle,0.23333333333333336
2020-01-07,seattle,0.5111111111111111
2020-01-08,seattle,0.0425
2020-01-09,seattle,0.060000000000000005
2020-01-10,seattle,0.16777777777777778
2020-01-11,seattle,0.4311111111111111
2020-01-12,seattle,0.3457142857142857
2020-01-13,seattle,0.22666666666666666
2020-01-14,seattle,0.14833333333333332
2020-01-15,seattle,0.022857142857142857
2020-01-16,seattle,0.04857142857142858
2020-01-17,seattle,0.008571428571428572
2020-01-18,seattle,0.5
2020-01-19,seattle,0.045714285714285714
2020-01-20,seattle,0.049999999999999996
2020-01-21,seattle,0.2814285714285714
2020-01-22,seattle,0.66
2020-01-23,seattle,0.5025
2020-01-24,seattle,0.8462500000000001
2020-01-25,seattle,0.3114285714285714
2020-01-26,seattle,0.29857142857142854
2020-01-27,seattle,0.17625
2020-01-28,seattle,0.97
2020-01-29,seattle,0.14500000000000002
2020-01-30,seattle,0.25375
2020-01-31,seattle,0.30142857142857143
2020-02-01,seattle,1.337142857142857
2020-02-02,seattle,0.08571428571428572
2020-02-03,seattle,0.06125
2020-02-04,seattle,0.004285714285714286
2020-02-05,seattle,0.5755555555555555
2020-02-06,seattle,1.1122222222222222
2020-02-07,seattle,0.5122222222222222
2020-02-08,seattle,0.21333333333333335
2020-02-09,seattle,0.02142857142857143
2020-02-10,seattle,0.00125
2020-02-11,seattle,0.0014285714285714286
2020-02-12,seattle,0.06714285714285714
2020-02-13,seattle,0.005
2020-02-14,seattle,0.1322222222222222
2020-02-15,seattle,0.08142857142857143
2020-02-16,seattle,0.198
2020-02-17,seattle,0.018333333333333337
2020-02-18,seattle,0.0
2020-02-19,seattle,0.0
2020-02-20,seattle,0.004
2020-02-21,seattle,0.0
2020-02-22,seattle,0.014000000000000002
2020-02-23,seattle,0.20714285714285713
2020-02-24,seattle,0.04
2020-02-25,seattle,0.0016666666666666668
2020-02-26,seattle,0.017142857142857144
2020-02-27,seattle,0.002857142857142857
2020-02-28,seattle,0.015
2020-02-29,seattle,0.11166666666666668
2020-03-01,seattle,0.043333333333333335
2020-03-02,seattle,0.02
2020-03-03,seattle,0.14857142857142858
2020-03-04,seattle,0.03
2020-03-05,seattle,0.045000000000000005
2020-03-06,seattle,0.6683333333333333
2020-03-07,seattle,0.09333333333333334
2020-03-08,seattle,0.09999999999999999
2020-03-09,seattle,0.01
2020-03-10,seattle,0.0
2020-03-11,seattle,0.041666666666666664
2020-03-12,seattle,0.03333333333333333
2020-03-13,seattle,0.13142857142857142
2020-03-14,seattle,0.23428571428571426
2020-03-15,seattle,0.0
2020-03-16,seattle,0.0
2020-03-17,seattle,0.0
2020-03-18,seattle,0.0
2020-03-19,seattle,0.0
2020-03-20,seattle,0.0
2020-03-21,seattle,0.0
2020-03-22,seattle,0.0
2020-03-23,seattle,0.016666666666666666
2020-03-24,seattle,0.022857142857142857
2020-03-25,seattle,0.42
2020-03-26,seattle,0.06666666666666667
2020-03-27,seattle,0.02142857142857143
2020-03-28,seattle,0.06874999999999999
2020-03-29,seattle,0.62875
2020-03-30,seattle,0.37875000000000003
2020-03-31,seattle,0.2957142857142857
2020-04-01,seattle,0.12
2020-04-02,seattle,0.018571428571428572
2020-04-03,seattle,0.007500000000000001
2020-04-04,seattle,0.0475
2020-04-05,seattle,0.0033333333333333335
2020-04-06,seattle,0.0
2020-04-07,seattle,0.0
2020-04-08,seattle,0.0
2020-04-09,seattle,0.0
2020-04-10,seattle,0.0
2020-04-11,seattle,0.0011111111111111111
2020-04-12,seattle,0.0
2020-04-13,seattle,0.0
2020-04-14,seattle,0.0
2020-04-15,seattle,0.0
2020-04-16,seattle,0.0
2020-04-17,seattle,0.0
2020-04-18,seattle,0.06625
2020-04-19,seattle,0.1388888888888889
2020-04-20,seattle,0.0
2020-04-21,seattle,0.0
2020-04-22,seattle,0.10285714285714286
2020-04-23,seattle,0.6875
2020-04-24,seattle,0.1025
2020-04-25,seattle,0.16666666666666666
2020-04-26,seattle,0.21500000000000002
2020-04-27,seattle,0.20875
2020-04-28,seattle,0.01
2020-04-29,seattle,0.01
2020-04-30,seattle,0.025714285714285714
2020-05-01,seattle,0.00375
2020-05-02,seattle,0.08125
2020-05-03,seattle,0.225
2020-05-04,seattle,0.015714285714285715
2020-05-05,seattle,0.0
2020-05-06,seattle,0.02
2020-05-07,seattle,0.02
2020-05-08,seattle,0.0
2020-05-09,seattle,0.0
2020-05-10,seattle,0.0
2020-05-11,seattle,0.0016666666666666668
2020-05-12,seattle,0.08428571428571428
2020-05-13,seattle,0.025714285714285714
2020-05-14,seattle,0.049999999999999996
2020-05-15,seattle,0.074
2020-05-16,seattle,0.138
2020-05-17,seattle,0.5314285714285715
2020-05-18,seattle,0.01
2020-05-19,seattle,0.0
2020-05-20,seattle,0.0
2020-05-21,seattle,0.36999999999999994
2020-05-22,seattle,0.12333333333333334
2020-05-23,seattle,0.21200000000000002
2020-05-24,seattle,0.0
2020-05-25,seattle,0.06666666666666667
2020-05-26,seattle,0.09833333333333334
2020-05-27,seattle,0.022
2020-05-28,seattle,0.0
2020-05-29,seattle,0.0
2020-05-30,seattle,0.0
2020-05-31,seattle,1.0542857142857143
2020-06-01,seattle,0.06142857142857144
2020-06-02,seattle,0.0
2020-06-03,seattle,0.01
2020-06-04,seattle,0.0
2020-06-05,seattle,0.0
2020-06-06,seattle,0.0
2020-06-07,seattle,0.1366666666666667
2020-06-08,seattle,0.043333333333333335
2020-06-09,seattle,0.16
2020-06-10,seattle,0.14166666666666666
2020-06-11,seattle,0.04
2020-06-12,seattle,0.1416666666666667
2020-06-13,seattle,0.20333333333333334
2020-06-14,seattle,0.17166666666666666
2020-06-15,seattle,0.096
2020-06-16,seattle,0.09
2020-06-17,seattle,0.0016666666666666668
2020-06-18,seattle,0.0
2020-06-19,seattle,0.0
2020-06-20,seattle,0.016
2020-06-21,seattle,0.05
2020-06-22,seattle,0.0
2020-06-23,seattle,0.0
2020-06-24,seattle,0.0
2020-06-25,seattle,0.0
2020-06-26,seattle,0.0
2020-06-27,seattle,0.11400000000000002
2020-06-28,seattle,0.625
2020-06-29,seattle,0.008
2020-06-30,seattle,0.055
2020-07-01,seattle,0.05
2020-07-02,seattle,0.008
2020-07-03,seattle,0.005
2020-07-04,seattle,0.0016666666666666668
2020-07-05,seattle,0.0
2020-07-06,seattle,0.0
2020-07-07,seattle,0.0
2020-07-08,seattle,0.0033333333333333335
2020-07-09,seattle,0.013333333333333334
2020-07-10,seattle,0.012
2020-07-11,seattle,0.002
